AUC,MAP,BRP_90,Dataset,Access_Level
0.7270968750000001,0.4077460651746615,0.01,commonsense_qa,Level 1 (Yes/No)
0.5850586666666667,0.3153166941639738,0.0,race,Level 1 (Yes/No)
0.8326167519612405,0.5952889081126778,0.004016064257028112,arc_easy,Level 1 (Yes/No)
0.6802270224841621,0.3980028410037484,0.0,arc_challenge,Level 1 (Yes/No)
0.737776,0.48812966541607034,0.004,open_book_qa,Level 1 (Yes/No)
0.9508490453005697,0.9508808093559076,0.7953795379537953,got_cities,Level 1 (Yes/No)
0.9103745541022592,0.9157045064399444,0.6896551724137931,got_sp_en_trans,Level 1 (Yes/No)
0.8427469235324121,0.8686246745004849,0.6464891041162227,got_larger_than,Level 1 (Yes/No)
0.8360557615075687,0.8388087194643302,0.5,got_cities_cities_conj,Level 1 (Yes/No)
0.8300986842105263,0.8383585166148756,0.4605263157894737,got_cities_cities_disj,Level 1 (Yes/No)
0.953436,0.9527618778933821,0.858,imdb,Level 1 (Yes/No)
0.9721839999999999,0.9700075230558604,0.928,amazon_polarity,Level 1 (Yes/No)
0.8184133333333333,0.5696862484332953,0.008,ag_news,Level 1 (Yes/No)
0.9611619971264368,0.7052134090138664,0.19444444444444445,dbpedia_14,Level 1 (Yes/No)
0.6478319800857564,0.6352513857774196,0.018050541516245487,rte,Level 1 (Yes/No)
0.45599999999999996,0.47662058212058217,0.0,copa,Level 1 (Yes/No)
0.651308,0.6409227264819672,0.002,boolq,Level 1 (Yes/No)
